Team,Year,G,W,L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Seattle SuperSonics,1995-96,82,64,18,242.4,37.5,78.1,0.48,7.1,19.5,0.364,30.4,58.6,0.519,22.5,29.6,0.76,11.6,29.9,41.5,24.4,10.8,4.8,17.6,24,104.5
Orlando Magic,1995-96,82,60,22,242.1,39.1,81,0.482,7.6,20.1,0.378,31.5,60.9,0.517,18.8,27.2,0.691,11.8,29.3,41.1,25.4,8.1,5,14.1,20.8,104.5
Phoenix Suns,1995-96,82,41,41,243.4,38.5,81.4,0.473,4,12,0.332,34.5,69.4,0.498,23.3,30.1,0.771,12.3,30.5,42.8,24.4,7.6,4,14.7,21.7,104.3
Boston Celtics,1995-96,82,33,49,242.7,38.6,84.7,0.456,6.6,17.7,0.371,32,66.9,0.478,19.9,27.9,0.714,12.8,29.6,42.4,21.9,8,5,15.9,24.9,103.6
San Antonio Spurs,1995-96,82,59,23,241.2,38.4,80.5,0.477,6.3,16.1,0.392,32.1,64.4,0.498,20.3,27.6,0.736,11.4,31.5,43,24.9,7.9,6.5,14.6,22.2,103.4
Los Angeles Lakers,1995-96,82,53,29,240,39.2,81.8,0.48,5.8,16.6,0.351,33.4,65.2,0.512,18.6,25,0.746,12.1,28.1,40.2,25.4,8.8,6.3,14.2,20.8,102.9
Charlotte Hornets,1995-96,82,41,41,242.4,37.9,80.7,0.47,7.1,18.5,0.384,30.8,62.2,0.495,19.9,25.8,0.77,12,27.5,39.5,23.3,7.1,3.4,15.1,22.1,102.8
Dallas Mavericks,1995-96,82,26,56,243,38.1,90.6,0.42,9,24.9,0.36,29.1,65.8,0.443,17.4,24.1,0.722,17.2,29,46.2,23.3,7.8,4.2,15.5,22.4,102.5
Washington Bullets,1995-96,82,39,43,241.5,39,80.7,0.484,6,14.8,0.407,33,65.9,0.501,18.4,25.3,0.728,11.3,28.4,39.7,22.1,7.2,6.2,16.2,24.2,102.5
Houston Rockets,1995-96,82,48,34,241.5,37.5,81,0.464,7.8,21.5,0.362,29.8,59.5,0.501,19.6,25.7,0.765,11.2,29.9,41.1,24.2,7.9,5.8,15.2,21.4,102.5
Utah Jazz,1995-96,82,55,27,241.2,38.2,78.3,0.488,4.6,12.4,0.372,33.6,65.9,0.509,21.6,28.1,0.768,12.1,28.9,41,26.1,8.1,5.1,14.8,25,102.5
Golden State Warriors,1995-96,82,36,46,240.9,37.3,81.7,0.456,5.5,14.6,0.373,31.8,67.1,0.474,21.6,28.5,0.759,14.3,27.9,42.2,23,8.6,5.7,16.4,22.4,101.6
Sacramento Kings,1995-96,82,39,43,240.9,36.2,79.2,0.457,5.6,14.6,0.387,30.6,64.6,0.473,21.5,29.4,0.731,13.6,28.6,42.2,22.3,7.8,5.3,17.6,26,99.5
Los Angeles Clippers,1995-96,82,29,53,240.6,38.1,80.7,0.472,6.2,16.8,0.37,31.9,64,0.499,17,24.2,0.702,11.9,26.7,38.6,20.4,8.6,5,16.5,24.5,99.4
Portland Trail Blazers,1995-96,82,44,38,242.7,37.4,81.6,0.458,5.9,16.6,0.353,31.5,65,0.485,18.7,28.3,0.662,14.1,31.4,45.6,21.5,7.2,5.1,16.8,22.7,99.3
Indiana Pacers,1995-96,82,52,30,240.9,36.3,75.7,0.48,4.4,11.9,0.373,31.9,63.8,0.5,22.2,29.5,0.755,12.3,27.6,39.9,23.4,7.1,3.9,16.3,24.8,99.3
Atlanta Hawks,1995-96,82,46,36,240.6,36.4,81.3,0.448,6.9,19.5,0.355,29.5,61.8,0.477,18.6,24.5,0.757,14.4,26.2,40.6,19.6,9.4,3.9,15,20.9,98.3
Minnesota Timberwolves,1995-96,82,26,56,241.2,36.3,79,0.459,3.4,10.5,0.326,32.9,68.6,0.479,21.9,28.2,0.777,12,27.7,39.7,22.8,7.9,5.9,17.4,24.3,97.9
Denver Nuggets,1995-96,82,35,47,241.8,36.6,81.2,0.451,4.8,14,0.346,31.8,67.2,0.473,19.7,26.5,0.743,12.9,30.3,43.2,22.6,6.4,7.3,15.4,23,97.7
Toronto Raptors,1995-96,82,21,61,241.8,37.6,80.5,0.467,5,14.2,0.354,32.6,66.2,0.492,17.2,23.8,0.723,13.1,27,40,23.5,9.1,6,18.8,24.2,97.5
New York Knicks,1995-96,82,47,53,241.8,36.6,77.8,0.471,5.9,15.7,0.377,30.7,62.2,0.494,18,23.8,0.757,10.1,29.9,40,22.2,7.9,4.6,15.5,22.7,97.2
Miami Heat,1995-96,82,42,40,241.2,35.4,77.4,0.457,6.7,17.8,0.379,28.7,59.6,0.481,18.9,26.7,0.71,12.2,30.4,42.6,21.4,7,5.4,17,26.3,96.5
